"","company","title"
"1","연합뉴스","'지자체장 또 성추행 쇼크' 오거돈 부산시장 자진사퇴(종합2보)"
"2","연합뉴스","미투 의혹 넘긴 오거돈 결국 여직원 성추행으로 자진 하차"
"3","YTN","[현장영상] 오거돈, 울먹이며 ""오늘자로 부산시장직 사퇴"""
"4","뉴스1","프랑스 영부인도 주목한 정은경..김정숙 여사 통화에서 ""활약 인상적"""
"5","연합뉴스","오거돈 사퇴로 공석된 부산시장 보궐선거는 내년 4월 7일"
"6","뉴스1","강간·폭행·음주운전 막장 의대생..""그가 의사가 돼서는 안된다"""
"7","뉴스1","美 콜로라도도 한국산 진단키트 30만회분 긴급 공수"
"8","뉴스1","3개월 된 통합당 이름 바꾸겠다는 김종인..과제와 걸림돌은"
"9","KBS","[최강시사] 태구민 ""비상시 김여정 체제로 가게 된다면, 김평일 존재 주목해야"""
"10","연합뉴스","[인터뷰] 한국 상대 배상소송 제기한 베트남인 ""학살 인정하라"""
"11","노컷뉴스","이재갑 ""이미 호텔, 비행기 만석? 31번 환자 교훈 잊었나"""
"12","뉴스1","미군서열 2위 ""김정은, 軍 완전통제""..北급변사태 논란 사전차단"
"13","뉴스1","코로나19로 휴직 항공조종사, 자택서 숨진 채 발견"
"14","스포츠동아","'개콘' 유민상♥김하영, 오늘부터 1일 선언..첫 데이트 포착"
"15","노컷뉴스","김재원 ""재난지원금 기부? 나라를 협찬으로 운영하나"""
"16","연합뉴스","공무직 1천234명 집단소송..""공무원과 복리후생에서 차별"""
"17","뉴스1","담배꽁초 버려 물류센터 220억 화재 피해낸 튀니지인 영장 방침"
"18","연합뉴스","오거돈 부산시장 전격 사퇴..""성추행 사죄""(종합)"
"19","뉴시스","성폭행·성관계 불법 촬영한 대구 스타강사, 항소심서 징역8년"
"20","연합뉴스","국민연금 수급자 33년만에 500만명 넘어..부부합산 최고 364만원"
"21","연합뉴스","새 백악관 대변인 등판..""대통령 호칭 붙여야"" 초장부터 논란"
"22","뉴시스","최강욱 ""윤석열, 선수들끼리 속이 뻔히 보이는 짓을 해"""
"23","뉴스엔","""넌 잘 사네"" 일반인 출연자 '과거사' 논란에 방송사 홍역 [이슈와치]"
"24","뉴스1","전주 실종 여성 행방 묘연..경찰 ""트렁크 싣고 이동"" 추정"
"25","이데일리","민경욱 ""'가세연' 6천만원 못 받아..재검표 5천만원, 후원해달라"""
"26","연합뉴스","ESPN ""무료로 한국프로야구 영상 달라""..협상 교착 상태"
"27","연합뉴스","약사회 ""마스크 대리구매 범위·1인당 구매량 확대 필요"""
"28","연합뉴스","직장인 건보료 정산..892만명 1인당 평균 14만8천원 더 내야"
"29","뉴스1","오거돈 부산시장 전격 사퇴..이유는 '성추행'"
"30","뉴시스","67개 감염병 전담병원 7500병상 감축..확진자 수 따라 4단계 조정"
"31","연합뉴스","청와대, 긴급재난지원금 지급 '속도전'..긴급재정명령권도 검토"
"32","연합뉴스","[3보] 오거돈 부산시장 사퇴 ""일신상 이유""..11시 기자회견"
"33","OSEN","강승현 ""학폭? 사실무근+법적대응"" vs 폭로자 ""그럴 줄 알고 증거 추가""(종합) [단독]"
"34","뉴스엔","'부부의 세계' 아역 논란, 누가 '투명 돌잔치'를 만들었나 [TV와치]"
"35","뉴스1","""아이 셋, 두 달 넘게 못 봐""..최전선 대구서 핀 '무명의 헌신'"
"36","뉴시스","최악의 식량위기 우려 고조..""코로나19 전에 굶어 죽을 판"""
"37","머니투데이","""멍청하다""..코로나 치명률 '세계 1위' 된 벨기에의 비밀"
"38","연합뉴스","[팩트체크] '직무와 무관한 주식보유 가능' 최강욱 말 맞나?"
"39","뉴스1","'자발적 기부' 아무도 예측할 수 없는데..'불확실'에 기댄 정부"
"40","연합뉴스","日언론 ""北김정은, 코로나 피해 평양 이탈 원산 체류 가능성"""
"41","연합뉴스","""낮은 성 인지 감수성, 어느 정도 예견된 일"" 부산성폭력상담소"
"42","MK스포츠","유재석의 인성 논란? '유 퀴즈 온 더 블럭' 본 자기님은 안다 [티비봤나영]"
"43","엑스포츠뉴스","잘 나가던 '부부의 세계', 범죄자 시점 연출·미스캐스팅 논란 [엑's 초점]"
"44","헤럴드경제","'출세 상징' 법원·검찰 관용차 역사 속으로"
"45","연합뉴스","격리지 이탈해 농장서 돈 번 베트남 20대..""강제 출국 방침"""
"46","뉴스1","둔기로 때리자 흉기로 보복..광주 외국인 집단난투극 4명 구속"
"47","스포츠조선","""우리도 KBO리그처럼 하자!"" 슈퍼에이전트 스캇 보라스의 제안"
"48","뉴스1","코로나에 각국 통계조사도 마비..ILO ""韓 노하우 알려달라"""
"49","뉴시스","'무릎 꿇은 전두환 동상' 재판 당일 광주지법 앞 설치"
"50","연합뉴스","인도 걷다 택시에 깔린 60대 '날벼락'..""신속 구조로 목숨 건져"""
